RIDAGEYR,RIAGENDR,RIDRETH3,INDHHIN2,INDFMPIR
69,1,4,4,0.84
54,1,3,7,1.78
72,1,3,10,4.51
9,1,3,9,2.52
73,2,3,15,5
56,1,1,9,4.79
0,1,3,15,5
61,2,3,10,5
42,1,2,15,5
56,2,3,4,0.48
65,1,3,3,1.2
26,2,3,15,5
0,2,7,77,NA
9,2,7,5,0.84
76,1,3,14,5
10,2,4,2,0.41
10,1,4,8,1.79
33,2,6,8,2.1
1,1,4,3,0.76
16,1,4,8,1.58
32,1,1,5,0.29
18,1,1,5,0.58
12,2,3,10,2.97
38,2,4,12,NA
50,1,6,15,5
23,2,4,3,0.69
7,2,3,15,5
13,1,3,9,3.07
28,1,6,7,2.26
4,2,6,6,1.27
14,1,6,15,3.33
11,1,4,6,1.54
35,1,3,5,1.74
2,1,1,5,0.8
6,1,3,15,5
29,1,1,12,2.14
3,1,3,15,4.19
23,1,2,5,0.45
58,1,2,8,3.09
57,2,6,15,5
50,2,4,15,2.18
20,1,1,NA,NA
13,2,3,8,1.52
37,1,4,5,0.63
12,1,1,14,3.82
3,1,2,NA,NA
35,1,6,14,3.77
69,2,3,10,2.44
13,1,3,15,4.25
16,1,3,14,3.23
75,1,3,4,1.08
3,1,6,3,0.42
11,2,1,6,1.09
43,1,3,10,2.03
3,2,2,5,0.45
6,2,6,7,0.88
60,2,4,15,5
55,2,3,5,1.29
65,2,2,3,1.22
62,2,3,15,5
6,1,1,4,0.47
54,2,3,13,NA
36,2,1,3,0.84
3,2,3,15,5
80,1,3,14,5
72,1,3,14,5
32,1,3,14,3.27
31,2,3,4,0.47
13,1,1,77,NA
72,2,4,4,0.78
0,1,6,15,3.63
80,1,3,7,3
26,2,4,14,3.45
13,1,6,15,5
56,2,4,2,0.71
23,1,1,7,2.48
43,2,3,14,3.56
65,1,4,6,1.52
4,2,1,15,5
1,2,1,14,3.82
2,2,3,2,0.3
63,2,7,6,2.18
71,1,3,7,1.45
67,2,4,6,2.23
64,2,3,2,0.77
57,2,3,8,2.27
62,1,6,1,0
8,1,7,7,1.13
54,2,3,15,5
4,1,1,15,4.25
61,2,2,10,3.53
16,2,4,15,5
3,1,3,2,0.31
6,1,7,10,2.19
6,2,4,9,2.31
54,2,4,9,3.81
10,2,4,3,0.38
46,1,3,4,1
44,1,4,8,1.79
54,1,3,15,4.25
19,2,1,7,1.45
35,1,6,15,5
70,2,3,6,1.93
59,1,6,7,1.82
25,1,4,7,2.02
39,1,3,3,0.61
25,1,3,15,5
5,2,1,14,3.14
59,1,1,1,0.03
70,1,6,9,3.81
24,1,3,4,0.65
30,2,3,8,1.43
4,1,4,5,0.96
71,2,1,3,0.87
49,1,4,3,0.86
73,1,3,14,5
45,1,3,15,5
45,2,3,12,NA
29,1,6,4,0.87
44,1,3,10,2.73
61,2,4,15,5
51,1,3,6,1.02
1,2,1,7,1.52
12,1,3,8,2.46
9,2,4,6,1.07
3,2,4,2,0.36
2,2,7,8,2.12
64,1,6,15,5
0,2,7,6,1.02
7,2,1,5,0.63
8,1,3,4,0.72
58,1,3,10,4.45
54,1,3,15,5
77,2,3,8,3.09
14,1,3,8,1.56
65,1,2,6,1.61
78,2,3,2,0.78
66,2,3,10,4.51
79,2,3,9,3.61
8,2,3,99,NA
57,2,3,8,3.18
